Electrolysis Report,Unit Input,Weight,Factor,Unit REMIND,REMIND,conversion remarks,comment
CAPEX,USD/kW,1,0.95,TrEUR/Twa,elh2.inco0,,
CAPEX,EUR/kW,1,1,TrEUR/Twa,elh2.inco0,,
efficiency,kWh/kg(H2),1,33.3,percent,elh2.eta,DIV,"needs to be converted in code, because of division; lower calorific value"
Fixed OPEX,percent,1,0.01,percent,elh2.omf,,
OPEX,EUR/kW/year,1,1,EUR/kW/year,elh2.omv,,
Energy demand,kWh/kg(H2),1,33.3,percent,elh2.eta,DIV,"needs to be converted in code, because of division; lower calorific value"
